,SchoolNumber,Female,Male,Race_AM,Race_AS,Race_BL,Race_HI,Race_PI,Race_WH,Race_MU,PortableClassrooms
Arcola,790,48,52,0,8.3,17.5,68.5,0,LT5,LT5,6
Ashburton,425,48.7,51.3,0,14.7,13,12.8,0,50.9,8.4,6
Bannockburn,420,48.2,51.8,0,10.8,0,7.5,0,68.1,10.8,2
Barnsley,505,42.9,57.1,0,15.3,10.4,29.1,0,39.2,6,10
